donor,recipient,donor_date,recipient_date,gap_days,is_primary_donor,borrowed_trait_count,borrowed_traits
qwen2_moe,dots1,2024-06-07,2025-06-06,364,0,30,altup|attention_family|attention_output_gating|attention_projection|bitlinear_weights|chunked_kv_cache|dual_attention_modules|ffn_activation_core|ffn_projection_style|gated_delta_net|grouped_expert_selection|has_aux_relu2_gate|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|moe_subtype|positional_encoding|q_lora_present|residual_scheme|residual_update_rule|rope_parameterization|rope_partition_detail|router_activation_configurable|shared_expert_configurable|tie_embeddings_configurable|tie_embeddings_default|uses_logit_softcap|window_schedule_detail|zero_expert_option
openelm,afm7,2024-04-24,2025-06-09,411,1,47,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|dual_attention_modules|ffn_activation_core|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
dots1,hunyuan,2025-06-06,2025-06-27,21,1,35,altup|attention_family|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|ffn_activation_core|ffn_core|ffn_projection_style|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_subtype|ngram_memory|norm_scheme|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|residual_update_rule|rope_partition_detail|router_activation_configurable|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|stack_topology|tie_embeddings_default|windowed_rope_scope
qwen2_moe,hunyuan,2024-06-07,2025-06-27,385,0,25,attention_output_gating|attention_pattern|bitlinear_weights|conv_on_kv|dual_attention_modules|expert_bias_correction|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_moe|has_shared_expert|moe_distribution|moe_schedule_type|optional_nope|rglru_recurrence|rope_parameterization|router_activation|same_block_attention_ssm|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|zero_expert_option
helium,ernie4_5,2025-01-13,2025-06-28,166,1,48,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
nemotron_h,ernie4_5_moe,2025-03-20,2025-06-28,100,0,26,attention_output_gating|attention_projection|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|gated_delta_net|global_plus_linear_attention_mix|has_moe|has_shared_expert|kv_layout|kv_lora_present|kv_reuse_attention|modality|qk_norm|rope_parameterization|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|window_schedule_detail|windowed_rope_scope
olmoe,ernie4_5_moe,2024-09-04,2025-06-28,297,1,35,altup|attention_family|attention_pattern|bitlinear_weights|conv_on_kv|ffn_core|ffn_projection_style|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|laurel|lm_head_bias|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|residual_scheme|residual_update_rule|rglru_recurrence|rope_partition_detail|router_activation|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|zero_expert_option
afm7,smollm3,2025-06-09,2025-07-08,29,1,26,altup|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|dual_attention_modules|ffn_projection_style|gated_delta_net|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|laurel|lm_head_bias|output_head_connection|periodic_no_rope_layers|positional_encoding|rglru_recurrence|rope_parameterization|rope_partition_detail|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|window_schedule_detail
olmo,smollm3,2024-02-01,2025-07-08,523,0,22,attention_family|attention_output_gating|attention_pattern|attention_projection|cross_layer_kv_sharing|ffn_core|global_plus_linear_attention_mix|kv_layout|kv_reuse_attention|modality|ngram_memory|optional_nope|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|same_block_attention_ssm|secondary_token_mixer|stack_topology|uses_logit_softcap|windowed_rope_scope
exaone,lfm2,2024-08-07,2025-07-10,337,1,45,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_partition_detail|same_block_attention_ssm|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
cohere2,exaone4,2024-12-11,2025-07-15,216,0,21,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|hybrid_block_schedule|kv_lora_present|lm_head_bias|modality|ngram_memory|output_head_connection|positional_encoding|residual_update_rule|secondary_token_mixer|window_schedule_detail|windowed_rope_scope
olmo2,exaone4,2024-11-26,2025-07-15,231,1,29,block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|ffn_activation_core|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|kv_layout|kv_reuse_attention|laurel|norm_scheme|optional_nope|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap
dots1,glm4_moe,2025-06-06,2025-07-28,52,1,60,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option
qwen3,hunyuan_v1_dense,2025-04-29,2025-07-30,92,1,49,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
llama,gpt_oss,2023-02-27,2025-08-05,890,0,24,altup|attention_family|attention_pattern|attention_projection|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|ffn_projection_style|grouped_expert_selection|has_aux_silu_gate|hybrid_block_schedule|kv_reuse_attention|laurel|ngram_memory|norm_scheme|positional_encoding|qk_norm|secondary_token_mixer|stack_topology|window_schedule_detail|windowed_rope_scope
phimoe,gpt_oss,2024-08-17,2025-08-05,353,1,33,attention_output_gating|bitlinear_weights|expert_bias_correction|ffn_activation_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|has_shared_expert|kv_layout|kv_lora_present|lm_head_bias|modality|moe_distribution|moe_schedule_type|optional_nope|output_head_connection|periodic_no_rope_layers|q_lora_present|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|shared_expert_configurable|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|zero_expert_option
granite,seed_oss,2024-10-21,2025-08-20,303,1,48,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
afm7,lille-130m,2025-06-09,2025-08-31,83,0,22,attention_family|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|ffn_projection_style|has_aux_silu_gate|hybrid_block_schedule|kv_layout|ngram_memory|positional_encoding|q_lora_present|residual_scheme|residual_update_rule|rglru_recurrence|rope_partition_detail|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_default
plamo2,lille-130m,2025-01-14,2025-08-31,229,1,26,altup|attention_output_gating|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|qk_norm|rope_parameterization|same_block_attention_ssm|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
deepseek_v3,longcat_flash,2024-12-26,2025-09-01,249,1,32,attention_family|attention_pattern|attention_projection|bitlinear_weights|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|gated_delta_net|grouped_expert_selection|has_aux_silu_gate|has_moe|kv_layout|kv_lora_present|lm_head_bias|modality|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|shared_expert_configurable|stack_topology|state_update_rule|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
gpt_oss,longcat_flash,2025-08-05,2025-09-01,27,0,27,altup|attention_output_gating|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|ffn_projection_style|global_plus_linear_attention_mix|has_aux_relu2_gate|has_shared_expert|hybrid_block_schedule|kv_reuse_attention|laurel|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|residual_update_rule|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale
glm4_moe,apertus,2025-07-28,2025-09-02,36,1,31,altup|attention_family|attention_output_gating|attention_projection|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|global_plus_linear_attention_mix|hybrid_block_schedule|kv_layout|kv_lora_present|lm_head_bias|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_softcap|windowed_rope_scope
smollm3,apertus,2025-07-08,2025-09-02,56,0,18,attention_pattern|bitlinear_weights|block_norm_variant|ffn_activation_core|ffn_core|gated_delta_net|has_aux_relu2_gate|has_aux_silu_gate|has_moe|kv_reuse_attention|laurel|modality|positional_encoding|residual_scheme|residual_update_rule|secondary_token_mixer|uses_logit_scale|window_schedule_detail
dots1,Klear,2025-06-06,2025-09-04,90,1,40,altup|attention_family|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|conv_on_kv|cross_layer_kv_sharing|expert_bias_correction|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|moe_distribution|moe_subtype|norm_scheme|optional_nope|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|rglru_recurrence|rope_partition_detail|router_activation|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_default|window_schedule_detail
nemotron_h,Klear,2025-03-20,2025-09-04,168,0,21,attention_output_gating|chunked_kv_cache|dual_attention_modules|ffn_activation_core|grouped_expert_selection|modality|moe_schedule_type|ngram_memory|output_head_connection|periodic_no_rope_layers|residual_scheme|residual_update_rule|rope_parameterization|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|windowed_rope_scope|zero_expert_option
bailing_moe_linear,qwen3_next,2025-04-24,2025-09-09,138,1,49,altup|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|grouped_expert_selection|has_aux_relu2_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option
nemotron_h,qwen3_next,2025-03-20,2025-09-09,173,0,4,global_plus_linear_attention_mix|has_aux_silu_gate|moe_schedule_type|norm_scheme
qwen2_moe,qwen3_next,2024-06-07,2025-09-09,459,0,7,attention_projection|expert_bias_correction|moe_subtype|router_activation|router_activation_configurable|shared_branch_merge_mode|shared_expert_configurable
deepseek_v3,deepseek_v32,2024-12-26,2025-09-29,277,1,59,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option
deepseek_v3,lfm2_moe,2024-12-26,2025-10-07,285,0,4,expert_bias_correction|has_moe|moe_schedule_type|moe_subtype
lfm2,lfm2_moe,2025-07-10,2025-10-07,89,1,54,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_shared_expert|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option
openelm,nanochat,2024-04-24,2025-10-13,537,0,22,attention_family|attention_output_gating|block_norm_variant|chunked_kv_cache|conv_on_kv|ffn_core|global_plus_linear_attention_mix|has_moe|hybrid_block_schedule|kv_lora_present|modality|norm_scheme|positional_encoding|projection_bias_scheme|residual_scheme|residual_update_rule|rglru_recurrence|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|windowed_rope_scope
rwkv7,nanochat,2024-09-23,2025-10-13,385,1,27,altup|attention_pattern|attention_projection|bitlinear_weights|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|gated_delta_net|has_aux_relu2_gate|has_aux_silu_gate|kv_layout|kv_reuse_attention|laurel|lm_head_bias|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|q_lora_present|qk_norm|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|tie_embeddings_default|uses_logit_softcap|window_schedule_detail
dots1,minimax,2025-06-06,2025-10-27,143,1,32,attention_family|attention_pattern|attention_projection|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_projection_style|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_reuse_attention|norm_scheme|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|qk_norm|qk_norm_detail|residual_scheme|router_activation|router_activation_configurable|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|zero_expert_option
phixtral,minimax,2024-01-08,2025-10-27,658,0,29,altup|attention_output_gating|bitlinear_weights|ffn_core|gated_delta_net|has_aux_relu2_gate|has_moe|has_shared_expert|kv_lora_present|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|optional_nope|positional_encoding|q_lora_present|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|stack_topology|tie_embeddings_default|windowed_rope_scope
longcat_flash,kimi_linear,2025-09-01,2025-10-30,59,0,27,altup|attention_projection|bitlinear_weights|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|global_plus_linear_attention_mix|has_shared_expert|kv_layout|kv_lora_present|kv_reuse_attention|laurel|moe_schedule_type|ngram_memory|norm_scheme|optional_nope|positional_encoding|projection_bias_scheme|qk_norm|residual_scheme|rglru_recurrence|rope_parameterization|same_block_attention_ssm|uses_logit_scale|uses_logit_softcap|windowed_rope_scope
qwen3_next,kimi_linear,2025-09-09,2025-10-30,51,1,29,attention_output_gating|attention_pattern|block_norm_variant|chunked_kv_cache|conv_on_kv|ffn_core|ffn_projection_style|gated_delta_net|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|lm_head_bias|modality|moe_distribution|moe_subtype|output_head_connection|periodic_no_rope_layers|q_lora_present|residual_update_rule|router_activation_configurable|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|window_schedule_detail|zero_expert_option
exaone4,olmo3,2025-07-15,2025-11-20,128,0,21,altup|bitlinear_weights|cross_layer_kv_sharing|has_moe|kv_layout|kv_lora_present|kv_reuse_attention|lm_head_bias|modality|ngram_memory|norm_scheme|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|qk_norm|qk_norm_detail|residual_scheme|rglru_recurrence|stack_topology|tie_embeddings_configurable|window_schedule_detail
gpt_oss,olmo3,2025-08-05,2025-11-20,107,1,29,attention_family|attention_output_gating|attention_pattern|attention_projection|block_norm_variant|chunked_kv_cache|conv_on_kv|dual_attention_modules|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|laurel|optional_nope|positional_encoding|q_lora_present|residual_update_rule|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|windowed_rope_scope
bailing_moe_linear,afmoe,2025-04-24,2025-12-01,221,0,28,altup|attention_output_gating|bitlinear_weights|block_norm_variant|coefficient_mix_shared_routed|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_projection_style|gated_delta_net|has_shared_expert|lm_head_bias|modality|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|qk_norm_detail|residual_update_rule|rope_parameterization|router_activation|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap
gpt_oss,afmoe,2025-08-05,2025-12-01,118,1,30,attention_family|attention_pattern|attention_projection|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|ffn_core|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|moe_distribution|moe_schedule_type|ngram_memory|norm_scheme|optional_nope|positional_encoding|rglru_recurrence|rope_partition_detail|router_activation_configurable|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_default|zero_expert_option
llama,ministral3,2023-02-27,2025-12-02,1009,1,49,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
glm4_moe,mimo_v2_flash,2025-07-28,2025-12-16,141,0,30,attention_family|attention_output_gating|bitlinear_weights|block_norm_variant|chunked_kv_cache|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|grouped_expert_selection|has_moe|has_shared_expert|kv_layout|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|residual_update_rule|rglru_recurrence|router_activation|router_activation_configurable|shared_branch_merge_mode|stack_topology|uses_logit_scale|uses_logit_softcap
gpt_oss,mimo_v2_flash,2025-08-05,2025-12-16,133,1,31,altup|attention_pattern|attention_projection|coefficient_mix_shared_routed|conv_on_kv|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|ngram_memory|norm_scheme|optional_nope|q_lora_present|qk_norm|residual_scheme|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|window_schedule_detail|windowed_rope_scope|zero_expert_option
internlm3,telechat3,2025-01-15,2025-12-24,343,1,48,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
llama,iquestloopcoder,2023-02-27,2025-12-30,1037,1,48,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
